IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
100978;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000540;Platane;Platanus;x hispanica;;300;28;;;48.835257274148475,2.383690625411205
121567;Arbre;Jardin;PARIS 14E ARRDT;;;SQUARE DU SERMENT DE KOUFRA;00000106;Platane;Platanus;x hispanica;;195;6;Adulte;NON;48.82124989843693,2.323892040052344
106872;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00702023;Platane;Platanus;x hispanica;;38;10;Jeune (arbre)Adulte;NON;48.85460105047985,2.2995215248018193
103255;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;N0770001;Platane;Platanus;x hispanica;;220;18;Adulte;NON;48.87934153526424,2.380449712919074
2010574;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00010028;Platane;Platanus;x hispanica;;70;17;Jeune (arbre)Adulte;NON;48.839489845661845,2.43910544357623
2013902;Arbre;Jardin;BOIS DE VINCENNES;;;PELOUSE DE REUILLY/ROUTE DES FORTIFICATIONS;20370267;Platane;Platanus;x hispanica;;200;15;Adulte;NON;48.83064032770717,2.405283133598351
107556;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604017;Platane;Platanus;x hispanica;;82;11;Adulte;NON;48.85701324769501,2.296975106332698
110911;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ALEXANDRE ET RENE PARODI / 1 PLACE DE LA PORTE MAILLOT;000304002;Platane;Platanus;x hispanica;;220;20;Mature;NON;48.87576170709779,2.279476650184977
115867;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE RAOUL NORDLING / 1 ESPLANADE RENEE LEBAS;000101006;Platane;Platanus;x hispanica;;226;16;;NON;48.852648159124406,2.381415936355222
123359;Arbre;Jardin;PARIS 15E ARRDT;;;JARDIN DE L''ATLANTIQUE;00000002;Platane;Platanus;orientalis;;110;0;;;48.84048371294291,2.319398266640779
107543;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604004;Platane;Platanus;x hispanica;;60;10;Jeune (arbre)Adulte;NON;48.857728656420214,2.295856636994562
100981;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000543;Platane;Platanus;x hispanica;;330;20;;;48.83521049683697,2.383428609366907
110511;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0036;Platane;Platanus;x hispanica;;75;10;;;48.83215949896027,2.299693816461316
179819;Arbre;Jardin;PARIS 12E ARRDT;;;TALUS BOULEVARD PONIATOWSKI LE BASTION / 2 V BOULEVARD PONIATOWSKI;000102034;Platane;Platanus;n. sp.;;110;15;Adulte;NON;48.828723024519626,2.389759336081337
325135;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000204005;Platane;Platanus;x hispanica;;220;22;Mature;NON;48.86966027204799,2.366852982955652
116215;Arbre;Jardin;PARIS 14E ARRDT;;;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;10030009;Platane;Platanus;x hispanica;;170;15;Adulte;NON;48.83190404035416,2.325654224661455
136761;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DU RANELAGH;00040051;Platane;Platanus;x hispanica;;227;19;Mature;NON;48.859743938863886,2.269707238928262
138750;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000075;Platane;Platanus;x hispanica;;253;20;Mature;NON;48.899804302044814,2.365677657299074
110515;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0040;Platane;Platanus;x hispanica;;195;16;;;48.83233455775504,2.299200122295534
325148;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000202009;Platane;Platanus;x hispanica;;94;8;Adulte;NON;48.86914672278957,2.367159182570619
112579;Arbre;Jardin;PARIS 20E ARRDT;Mail Central;;JARDIN DELAPORTE / 17 AVENUE DE LA PORTE DE VINCENNES;000103056;Platane;Platanus;x hispanica;;210;28;Mature;NON;48.847554791581935,2.413659513117116
111064;Arbre;Jardin;PARIS 16E ARRDT;Jauge SEJ;;SQUARE ALEXANDRE ET RENE PARODI / 1 PLACE DE LA PORTE MAILLOT;000401001;Platane;Platanus;x hispanica;;294;23;Mature;NON;48.87646818446248,2.280020551200848
107449;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00401003;Platane;Platanus;x hispanica;;42;12;Jeune (arbre)Adulte;NON;48.85743538528717,2.295256208815688
124883;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;000104006;Platane;Platanus;x hispanica;;280;30;;NON;48.86195778776703,2.378351127315898
225122;Arbre;Jardin;PARIS 20E ARRDT;;;JARDIN BENOIT FRACHON / 1 AVENUE BENOIT FRACHON;000103002;Platane;Platanus;x hispanica;;125;12;Adulte;NON;48.8535951091488,2.415258479285545
128151;Arbre;Jardin;PARIS 17E ARRDT;;;PELOUSES DE LA PLACE DU GENERAL CATROUX;00000010;Platane;Platanus;x hispanica;;362;25;Mature;NON;48.88264164838511,2.309581730714111
325157;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000102007;Platane;Platanus;x hispanica;;220;20;Mature;NON;48.86921291519122,2.366820971760947
135259;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE DES BATIGNOLLES;00000069;Platane;Platanus;x hispanica;;200;18;Adulte;NON;48.88713006945226,2.317236422784039
305404;Arbre;Jardin;PARIS 8E ARRDT;;;PARC MONCEAU;00NO0120;Platane;Platanus;x hispanica;;260;25;Adulte;;48.87951626147233,2.306394062203458
127542;Arbre;Jardin;PARIS 19E ARRDT;;;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;00000032;Platane;Platanus;x hispanica;;160;0;;;48.881236766671776,2.398720341574085
139985;Arbre;Jardin;PARIS 19E ARRDT;;;SQUARE MARCEL MOULOUDJI;00000034;Platane;Platanus;x hispanica;;80;0;;;48.8853430794657,2.377366867595285
110477;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0002;Platane;Platanus;x hispanica;;135;14;;;48.832904520156525,2.299485862574348
138734;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000059;Platane;Platanus;x hispanica;;68;9;Jeune (arbre)Adulte;NON;48.90007106646257,2.366223089254848
106512;Arbre;Jardin;PARIS 7E ARRDT;Canton 12;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A01202019;Platane;Platanus;x hispanica;;50;10;Jeune (arbre)Adulte;NON;48.85386099894999,2.301882719245829
